"Horodateur","Votre genre","Votre Age ","Niveau académique","votre spécialité "," Avez-vous déjà effectué un stage   ","Êtes-vous actuellement en recherche d’emploi ?  ","Quelles sont les principales difficultés que vous rencontrez pour trouver un emploi ?  ","Dans quelle ville recherchez vous principalement un emploi ?  ","Selon vous, quelle compétence est la plus importante pour être recruté(e) ?","Pensez vous que votre formation vous a bien prépare au Marche de travail ?","Avez-vous déjà refusé une offre d’emploi ?","si oui pourquoi ?","Selon vous, quel est le salaire minimum que vous seriez prêt à accepter pour un tel emploi ? (en dh)"
"2025/05/03 2:58:47 PM UTC+1","Femme","[30;35[","Diplome des infirmiers ","Infirmière ","Oui","Non","Pas de difficulté pour moi","Kenitra","Techniques","Oui","Non","","15000"
"2025/05/03 3:50:35 PM UTC+1","Homme","[20;25[","licence","Sciences économiques et gestion ","Oui","Oui","Manque d’expérience","El Jadida ","Expériences ou stages","Moyennement","Oui","Conditions de travail difficiles","5000"
"2025/05/03 3:53:19 PM UTC+1","Homme","[30;35[","licence","Mathématique","Oui","Oui","Peu d’offres","El jadida","Expériences ou stages","Oui","Non","","9000 dh "
"2025/05/03 4:33:04 PM UTC+1","Femme","[20;25[","3année licence","Science de la vie et de la terre","Non","Non","Peu d’offres","rabat","Expériences ou stages","Moyennement","Oui","a causes de mes études dqns la fac des sciences j'ai travailker les 1ère 2 annés mais j'est arreter de postuler ou chercher pendant la 3ème année  (pfe s6 quelques modules de s) i'm focus on my studies now meme si je travaille liberement seule","4000 dh et plus "
"2025/05/03 8:23:00 PM UTC+1","Homme","[25;30[","Master","Mathématique","Oui","Je suis déjà en poste","Salaire faible","Rabat ","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Oui","Manque d’adéquation avec le profil","6000"
"2025/05/04 10:49:47 AM UTC+1","Femme","[15;20[","licence","Science de la vie et de la terre","Oui","Non","Manque d’expérience;Peu d’offres;Salaire faible","Rabat","Techniques","Non","Oui","Conditions de travail difficiles","4000"
"2025/05/04 12:19:29 PM UTC+1","Femme","[25;30[","Master","Économie ","Oui","Je suis déjà en poste","Peu d’offres;Compétences non adaptées;Salaire faible","Fes","Expériences ou stages","Moyennement","Oui","Conditions salariales insuffisantes","7000"
"2025/05/04 1:17:46 PM UTC+1","Homme","[20;25[","licence","Informatique et science des données","Non","Oui","Manque d’expérience;Peu d’offres;Compétences non adaptées","Rabat Salé","Expériences ou stages","Moyennement","Non","","4500"
"2025/05/04 3:49:36 PM UTC+1","Homme","[30;35[","Master","Informatique et science des données","Oui","Je suis déjà en poste","Manque d’expérience;Peu d’offres","rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Oui","Conditions de travail difficiles","12000"
"2025/05/04 4:07:37 PM UTC+1","Femme","[20;25[","licence","Informatique et science des données","Non","Non","Manque d’expérience;Compétences non adaptées","Kénitra ","Expériences ou stages","Oui","Non","","4000 dh "
"2025/05/04 5:52:55 PM UTC+1","Homme","[30;35[","licence","Économie ","Oui","Je suis déjà en poste","Peu d’offres","Kénitra ","Soft skills ( travail d'équipe, leadership, communication ...)","Moyennement","Non","","6000"
"2025/05/04 9:50:44 PM UTC+1","Homme","[25;30[","Master","Informatique et science des données","Oui","Non","Manque d’expérience","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Oui","Oui","Conditions salariales insuffisantes","7000dh"
"2025/05/05 2:36:27 PM UTC+1","Femme","[20;25[","licence","Mathématique","Non","Non","Peu d’offres","Rabat","Techniques","Non","Non","","5000"
"2025/05/07 10:52:47 PM UTC+1","Homme","[20;25[","Master","Informatique et science des données","Oui","Oui","Peu d’offres;Compétences non adaptées","Rabat","Expériences ou stages","Moyennement","Non","","11000"
"2025/05/09 3:10:54 PM UTC+1","Femme","[20;25[","Bac +2","Physique et chimie","Non","Non","Compétences non adaptées","Rabat","Soft skills ( travail d'équipe, leadership, communication ...)","Non","Non","","5000dh"
"2025/05/11 2:22:30 PM UTC+1","Femme","[25;30[","Doctorat","Mathématique","Oui","Non","Manque d’expérience;Peu d’offres","Rabat","Expériences ou stages","Non","Non","","7000"
"2025/05/14 4:19:26 AM UTC+1","Homme","> 45","Master","Technique","Oui","Non","Manque d’expérience;Compétences non adaptées","Casablanca ","Techniques","Oui","Oui","Conditions salariales insuffisantes","30000"
